Date,Open,High,Low,Adj Close,Volume,Prev Day,Target,Adj Close Change,headline_score
2024-01-12,265.1300048828125,265.54998779296875,263.7099914550781,262.1661071777344,4656100,262.0271301269531,1,0.053039183657777045,0.00044489651918411255
2024-01-16,263.5199890136719,265.6600036621094,262.3500061035156,263.22796630859375,6196400,262.1661071777344,1,0.40503295498051095,-0.05110852585898505
2024-01-17,264.4200134277344,267.1000061035156,264.3900146484375,264.6074523925781,5118700,263.22796630859375,1,0.5240651680479713,-0.04637284576892853
2024-01-18,267.8800048828125,268.7799987792969,266.4200134277344,266.1059875488281,6694300,264.6074523925781,1,0.5663238668073278,-0.38884136974811556
2024-01-19,268.17999267578125,271.1499938964844,267.04998779296875,268.8450622558594,7224600,266.1059875488281,1,1.029317202615987,-0.12400552299287584
2024-01-22,272.239990234375,272.3500061035156,270.3599853515625,269.1427917480469,5984300,268.8450622558594,1,0.11074389452767619,-0.7699494306687955
2024-01-23,271.54998779296875,271.8699951171875,269.9100036621094,269.2023010253906,5883000,269.1427917480469,1,0.022110671052066877,0.015301235516866048
2024-01-24,272.57000732421875,272.8599853515625,271.0799865722656,269.58935546875,5021700,269.2023010253906,1,0.14377828194078734,0.48645149171352386
2024-01-25,271.95001220703125,272.7799987792969,270.79998779296875,270.5420837402344,6894900,269.58935546875,1,0.353399810548094,0.060121084635074325
2024-01-26,265.94000244140625,270.8699951171875,265.6000061035156,265.90753173828125,8586500,270.5420837402344,0,-1.7130613980200882,-0.42187116467035735
2024-01-29,266.9700012207031,275.07000732421875,266.7099914550781,271.5841064453125,6574500,265.90753173828125,1,2.134792749164549,0.2724206772717563
2024-01-30,274.5899963378906,278.6400146484375,274.19000244140625,275.047607421875,6549000,271.5841064453125,1,1.275295900741491,0.286919582973827
2024-01-31,277.1199951171875,279.989990234375,273.17999267578125,271.1871337890625,6139300,275.047607421875,0,-1.4035656114220307,0.31849824719958836
2024-02-01,273.3900146484375,277.19000244140625,273.3599853515625,274.9483642578125,7065000,271.1871337890625,1,1.386950190518843,0.26211403883420503
2024-02-02,277.6099853515625,278.5,275.67999267578125,275.077392578125,4848700,274.9483642578125,1,0.046928200740814496,0.14188904421670095
2024-02-05,277.3999938964844,278.0,275.1300048828125,273.489501953125,4899100,275.077392578125,0,-0.5772523180177402,0.5024584233760834
2024-02-06,274.79998779296875,276.8800048828125,274.0299987792969,274.6606140136719,4400000,273.489501953125,1,0.42821097416294585,-0.4140789563005621
2024-02-07,279.3800048828125,279.5400085449219,277.05999755859375,277.2706604003906,4785900,274.6606140136719,1,0.9502805475374076,0.08033820986747742
2024-02-08,279.5400085449219,279.6600036621094,275.2799987792969,274.1983642578125,5833400,277.2706604003906,0,-1.1080494914758043,-0.06709967056910197
2024-02-09,275.0,277.17999267578125,274.0899963378906,274.8446350097656,4618300,274.1983642578125,1,0.2356946051455866,-0.04264213889837265
